epoch,loss,v1_decoder_0_loss,v2_decoder_0_loss,val_loss,val_v1_decoder_0_loss,val_v2_decoder_0_loss
0,0.03591142222285271,0.0005550099303945899,0.03535641357302666,NA,NA,NA
1,0.03411338850855827,0.000521777430549264,0.033591609448194504,NA,NA,NA
2,0.033094849437475204,0.0005079039256088436,0.03258694335818291,NA,NA,NA
3,0.03122919425368309,0.0005038402741774917,0.030725354328751564,NA,NA,NA
4,0.027562016621232033,0.000503011338878423,0.027059007436037064,NA,NA,NA
5,0.02465883642435074,0.0005027924198657274,0.02415604330599308,NA,NA,NA
6,0.0239820908755064,0.0005022421828471124,0.023479847237467766,NA,NA,NA
7,0.022880008444190025,0.0005016280338168144,0.022378379479050636,NA,NA,NA
8,0.021867765113711357,0.0005012089386582375,0.021366555243730545,NA,NA,NA
9,0.020911600440740585,0.0005008529988117516,0.020410748198628426,NA,NA,NA
10,0.01960771158337593,0.0005006483406759799,0.019107062369585037,NA,NA,NA
11,0.01829048991203308,0.0005005674320273101,0.017789920791983604,NA,NA,NA
12,0.017197562381625175,0.0005004843114875257,0.016697078943252563,NA,NA,NA
13,0.01650863140821457,0.0005004689446650445,0.016008161008358,NA,NA,NA
14,0.015740472823381424,0.000500430993270129,0.01524004340171814,NA,NA,NA
15,0.014999979175627232,0.0005004139966331422,0.014499565586447716,NA,NA,NA
16,0.014332816936075687,0.0005004030535928905,0.013832414522767067,NA,NA,NA
17,0.01362653635442257,0.0005003842525184155,0.013126150704920292,NA,NA,NA
18,0.013271797448396683,0.0005003790138289332,0.012771418318152428,NA,NA,NA
19,0.012632173486053944,0.0005003631813451648,0.012131810188293457,NA,NA,NA
20,0.01204077247530222,0.0005003664991818368,0.011540405452251434,NA,NA,NA
21,0.01160162128508091,0.0005003627156838775,0.011101258918642998,NA,NA,NA
22,0.011080734431743622,0.0005003562546335161,0.010580377653241158,NA,NA,NA
23,0.01066101249307394,0.0005004046251997352,0.010160606354475021,NA,NA,NA
24,0.010292228311300278,0.000500350259244442,0.009791878052055836,NA,NA,NA
25,0.009993143379688263,0.000500347523484379,0.00949279498308897,NA,NA,NA
26,0.009714419953525066,0.0005003382684662938,0.009214082732796669,NA,NA,NA
27,0.009557485580444336,0.0005003294791094959,0.00905715674161911,NA,NA,NA
28,0.009182526730000973,0.0005003166734240949,0.008682209998369217,NA,NA,NA
29,0.008787707425653934,0.0005003021797165275,0.008287404663860798,NA,NA,NA
30,0.008451195433735847,0.0005003147525712848,0.007950880564749241,NA,NA,NA
31,0.008042778819799423,0.0005003094556741416,0.007542469073086977,NA,NA,NA
32,0.0076254201121628284,0.0005002808757126331,0.007125139236450195,NA,NA,NA
33,0.007379200775176287,0.0005002430407330394,0.0068789576180279255,NA,NA,NA
34,0.007054650224745274,0.0005002297693863511,0.006554420571774244,NA,NA,NA
35,0.006690450944006443,0.0005002122488804162,0.006190238520503044,NA,NA,NA
36,0.006412360817193985,0.0005001859972253442,0.00591217540204525,NA,NA,NA
37,0.006183686666190624,0.000500167312566191,0.005683519411832094,NA,NA,NA
38,0.005937519017606974,0.0005001054960303009,0.0054374136961996555,NA,NA,NA
39,0.005680721718817949,0.0005000265664421022,0.0051806955598294735,NA,NA,NA
40,0.005451530683785677,0.0004999749944545329,0.004951555281877518,NA,NA,NA
41,0.0052473219111561775,0.0004998230142518878,0.004747499246150255,NA,NA,NA
42,0.0050789592787623405,0.000499684945680201,0.004579274915158749,NA,NA,NA
43,0.00483811367303133,0.000499448215123266,0.004338665399700403,NA,NA,NA
44,0.004585640504956245,0.0004990732413716614,0.004086567088961601,NA,NA,NA
45,0.004363035783171654,0.0004985618870705366,0.003864473896101117,NA,NA,NA
46,0.004209693055599928,0.0004976942436769605,0.0037119989283382893,NA,NA,NA
47,0.004054961260408163,0.0004964045365341008,0.0035585565492510796,NA,NA,NA
48,0.003945720382034779,0.0004944748361594975,0.0034512453712522984,NA,NA,NA
49,0.003831750713288784,0.0004918324993923306,0.003339918330311775,NA,NA,NA
50,0.003674126463010907,0.0004887630348093808,0.0031853632535785437,NA,NA,NA
51,0.0036239319015294313,0.00048524083103984594,0.003138691419735551,NA,NA,NA
52,0.0034680503886193037,0.00048182375030592084,0.0029862264636904,NA,NA,NA
53,0.0033579727169126272,0.0004785129858646542,0.0028794598765671253,NA,NA,NA
54,0.0033644645009189844,0.000476180313853547,0.002888284157961607,NA,NA,NA
55,0.0032443497329950333,0.00047480507055297494,0.002769544953480363,NA,NA,NA
56,0.0030086408369243145,0.00047382107004523277,0.0025348197668790817,NA,NA,NA
